TeilnehmerID,Gruppe,RaumlicheGruppe,Pressure,map,place,V,O,G,uncertainty,dec,conf,dec_rt,conf_rt,trial,correct,unc_c,pres_c
OZ_T10,1,1,Control,K24,Arosa,V1,O1,G1,MU,8,2,59,3,9,1,0.5,-0.5
OZ_T10,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,5,21,4,10,1,0.5,-0.5
OZ_T10,1,1,Control,K28,Bivio,V3,O1,G1,MU,7,1,25,4,11,1,0.5,-0.5
OZ_T10,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,4,22,4,12,1,0.5,-0.5
OZ_T10,1,1,Control,K32,Kloster,V2,O2,G1,MU,8,2,16,3,13,1,0.5,-0.5
OZ_T10,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,4,24,2,14,1,0.5,-0.5
OZ_T10,1,1,Control,K36,Serneus,V1,O2,G2,MU,7,3,30,4,15,1,0.5,-0.5
OZ_T10,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,8,2,47,4,16,1,0.5,-0.5
OZ_T11,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,4,39,12,1,1,-0.5,-0.5
OZ_T11,1,1,Control,K10,Berguen,V3,O2,G1,OU,7,4,9,4,2,1,-0.5,-0.5
OZ_T11,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,4,22,4,3,1,-0.5,-0.5
OZ_T11,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,4,22,4,4,1,-0.5,-0.5
OZ_T11,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,2,40,5,5,1,-0.5,-0.5
OZ_T11,1,1,Control,K18,Serneus,V1,O2,G1,OU,8,4,14,5,6,1,-0.5,-0.5
OZ_T11,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,2,38,6,7,1,-0.5,-0.5
OZ_T11,1,1,Control,K22,Klosters,V2,O2,G2,OU,7,4,28,6,8,1,-0.5,-0.5
OZ_T11,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,3,19,4,9,1,0.5,-0.5
OZ_T11,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,4,9,6,10,1,0.5,-0.5
OZ_T11,1,1,Control,K28,Bivio,V3,O1,G1,MU,7,3,27,3,11,1,0.5,-0.5
OZ_T11,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,4,20,6,12,1,0.5,-0.5
OZ_T11,1,1,Control,K32,Kloster,V2,O2,G1,MU,7,3,27,4,13,1,0.5,-0.5
OZ_T11,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,4,25,6,14,1,0.5,-0.5
OZ_T11,1,1,Control,K36,Serneus,V1,O2,G2,MU,7,4,25,4,15,1,0.5,-0.5
OZ_T11,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,8,1,57,3,16,1,0.5,-0.5
OZ_T15,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,3,51,7,1,1,-0.5,-0.5
OZ_T15,1,1,Control,K10,Berguen,V3,O2,G1,OU,8,4,12,3,2,1,-0.5,-0.5
OZ_T15,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,3,20,4,3,1,-0.5,-0.5
OZ_T15,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,3,14,3,4,1,-0.5,-0.5
OZ_T15,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,39,4,5,1,-0.5,-0.5
OZ_T15,1,1,Control,K18,Serneus,V1,O2,G1,OU,8,4,16,3,6,1,-0.5,-0.5
OZ_T15,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,3,27,3,7,1,-0.5,-0.5
OZ_T15,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,2,31,6,8,1,-0.5,-0.5
OZ_T15,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,2,43,4,9,1,0.5,-0.5
OZ_T15,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,3,28,3,10,1,0.5,-0.5
OZ_T15,1,1,Control,K28,Bivio,V3,O1,G1,MU,7,2,31,3,11,1,0.5,-0.5
OZ_T15,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,3,25,4,12,1,0.5,-0.5
OZ_T15,1,1,Control,K32,Kloster,V2,O2,G1,MU,7,2,34,3,13,1,0.5,-0.5
OZ_T15,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,2,43,4,14,1,0.5,-0.5
OZ_T15,1,1,Control,K36,Serneus,V1,O2,G2,MU,8,2,41,4,15,1,0.5,-0.5
OZ_T15,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,7,3,21,3,16,1,0.5,-0.5
OZ_T17,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,4,51,8,1,1,-0.5,-0.5
OZ_T17,1,1,Control,K10,Berguen,V3,O2,G1,OU,8,4,28,3,2,1,-0.5,-0.5
OZ_T17,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,4,39,3,3,1,-0.5,-0.5
OZ_T17,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,4,31,3,4,1,-0.5,-0.5
OZ_T17,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,58,3,5,1,-0.5,-0.5
OZ_T17,1,1,Control,K18,Serneus,V1,O2,G1,OU,8,3,31,2,6,1,-0.5,-0.5
OZ_T17,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,8,5,32,3,7,1,-0.5,-0.5
OZ_T17,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,4,16,3,8,1,-0.5,-0.5
OZ_T17,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,4,28,4,9,1,0.5,-0.5
OZ_T17,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,5,16,3,10,1,0.5,-0.5
OZ_T17,1,1,Control,K28,Bivio,V3,O1,G1,MU,7,5,26,3,11,1,0.5,-0.5
OZ_T17,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,5,17,4,12,1,0.5,-0.5
OZ_T17,1,1,Control,K32,Kloster,V2,O2,G1,MU,8,3,22,4,13,1,0.5,-0.5
OZ_T17,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,3,34,3,14,1,0.5,-0.5
OZ_T17,1,1,Control,K36,Serneus,V1,O2,G2,MU,7,4,26,3,15,1,0.5,-0.5
OZ_T17,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,7,5,12,3,16,1,0.5,-0.5
OZ_T01,1,2,Control,K8,Arosa,V1,O1,G2,OU,8,4,19,4,1,1,-0.5,-0.5
OZ_T01,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,5,11,3,2,1,-0.5,-0.5
OZ_T01,1,2,Control,K12,Bivio,V4,O1,G1,OU,8,4,18,4,3,1,-0.5,-0.5
OZ_T01,1,2,Control,K14,Churwalden,V2,O1,G1,OU,8,4,13,4,4,1,-0.5,-0.5
OZ_T01,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,2,12,3,5,1,-0.5,-0.5
OZ_T01,1,2,Control,K18,Serneus,V1,O2,G1,OU,2,2,22,3,6,0,-0.5,-0.5
OZ_T01,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,7,3,16,3,7,1,-0.5,-0.5
OZ_T01,1,2,Control,K22,Klosters,V2,O2,G2,OU,6,2,13,4,8,0,-0.5,-0.5
OZ_T01,1,2,Control,K24,Arosa,V1,O1,G1,MU,8,3,21,3,9,1,0.5,-0.5
OZ_T01,1,2,Control,K26,Berguen,V3,O2,G2,MU,8,4,22,4,10,1,0.5,-0.5
OZ_T01,1,2,Control,K28,Bivio,V3,O1,G1,MU,8,3,19,3,11,1,0.5,-0.5
OZ_T01,1,2,Control,K30,Churwalden,V2,O1,G2,MU,8,4,14,3,12,1,0.5,-0.5
OZ_T01,1,2,Control,K32,Kloster,V2,O2,G1,MU,8,4,19,3,13,1,0.5,-0.5
OZ_T01,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,8,3,21,3,14,1,0.5,-0.5
OZ_T01,1,2,Control,K36,Serneus,V1,O2,G2,MU,2,3,20,3,15,0,0.5,-0.5
OZ_T01,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,8,2,20,3,16,1,0.5,-0.5
OZ_T07,1,2,Control,K8,Arosa,V1,O1,G2,OU,7,5,16,8,1,1,-0.5,-0.5
OZ_T07,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,4,8,3,2,1,-0.5,-0.5
OZ_T07,1,2,Control,K12,Bivio,V4,O1,G1,OU,3,5,8,3,3,0,-0.5,-0.5
OZ_T07,1,2,Control,K14,Churwalden,V2,O1,G1,OU,8,3,13,3,4,1,-0.5,-0.5
OZ_T07,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,4,10,5,5,1,-0.5,-0.5
OZ_T07,1,2,Control,K18,Serneus,V1,O2,G1,OU,2,4,11,4,6,0,-0.5,-0.5
OZ_T07,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,8,5,20,10,7,1,-0.5,-0.5
OZ_T07,1,2,Control,K22,Klosters,V2,O2,G2,OU,8,5,15,4,8,1,-0.5,-0.5
OZ_T07,1,2,Control,K24,Arosa,V1,O1,G1,MU,8,2,25,4,9,1,0.5,-0.5
OZ_T07,1,2,Control,K26,Berguen,V3,O2,G2,MU,7,3,13,4,10,1,0.5,-0.5
OZ_T07,1,2,Control,K28,Bivio,V3,O1,G1,MU,7,4,17,4,11,1,0.5,-0.5
OZ_T07,1,2,Control,K30,Churwalden,V2,O1,G2,MU,7,4,9,3,12,1,0.5,-0.5
OZ_T07,1,2,Control,K32,Kloster,V2,O2,G1,MU,8,2,18,3,13,1,0.5,-0.5
OZ_T07,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,4,1,28,4,14,0,0.5,-0.5
OZ_T07,1,2,Control,K36,Serneus,V1,O2,G2,MU,2,3,17,6,15,0,0.5,-0.5
OZ_T07,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,7,4,16,4,16,1,0.5,-0.5
OZ_T08,1,2,Control,K8,Arosa,V1,O1,G2,OU,8,5,44,7,1,1,-0.5,-0.5
OZ_T08,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,5,32,3,2,1,-0.5,-0.5
OZ_T08,1,2,Control,K12,Bivio,V4,O1,G1,OU,8,5,23,4,3,1,-0.5,-0.5
OZ_T08,1,2,Control,K14,Churwalden,V2,O1,G1,OU,8,5,17,6,4,1,-0.5,-0.5
OZ_T08,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,5,27,6,5,1,-0.5,-0.5
OZ_T08,1,2,Control,K18,Serneus,V1,O2,G1,OU,8,5,36,5,6,1,-0.5,-0.5
OZ_T08,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,7,5,34,2,7,1,-0.5,-0.5
OZ_T08,1,2,Control,K22,Klosters,V2,O2,G2,OU,8,5,31,9,8,1,-0.5,-0.5
OZ_T08,1,2,Control,K24,Arosa,V1,O1,G1,MU,7,5,17,4,9,1,0.5,-0.5
OZ_T08,1,2,Control,K26,Berguen,V3,O2,G2,MU,7,5,19,5,10,1,0.5,-0.5
OZ_T08,1,2,Control,K28,Bivio,V3,O1,G1,MU,7,5,61,4,11,1,0.5,-0.5
OZ_T08,1,2,Control,K30,Churwalden,V2,O1,G2,MU,7,5,16,3,12,1,0.5,-0.5
OZ_T08,1,2,Control,K32,Kloster,V2,O2,G1,MU,7,5,44,4,13,1,0.5,-0.5
OZ_T08,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,8,5,21,5,14,1,0.5,-0.5
OZ_T08,1,2,Control,K36,Serneus,V1,O2,G2,MU,7,4,61,3,15,1,0.5,-0.5
OZ_T08,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,7,5,51,3,16,1,0.5,-0.5
OZ_T09,1,2,Control,K8,Arosa,V1,O1,G2,OU,8,4,35,7,1,1,-0.5,-0.5
OZ_T09,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,3,13,3,2,1,-0.5,-0.5
OZ_T09,1,2,Control,K12,Bivio,V4,O1,G1,OU,8,3,16,4,3,1,-0.5,-0.5
OZ_T09,1,2,Control,K14,Churwalden,V2,O1,G1,OU,7,4,25,3,4,1,-0.5,-0.5
OZ_T09,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,17,4,5,1,-0.5,-0.5
OZ_T09,1,2,Control,K18,Serneus,V1,O2,G1,OU,2,4,24,3,6,0,-0.5,-0.5
OZ_T09,1,2,Control,K20,Tschiertschen,V3,O1,G2,OU,7,3,37,4,7,1,-0.5,-0.5
OZ_T09,1,2,Control,K22,Klosters,V2,O2,G2,OU,8,3,16,3,8,1,-0.5,-0.5
OZ_T09,1,2,Control,K24,Arosa,V1,O1,G1,MU,8,3,36,4,9,1,0.5,-0.5
OZ_T09,1,2,Control,K26,Berguen,V3,O2,G2,MU,7,4,50,4,10,1,0.5,-0.5
OZ_T09,1,2,Control,K28,Bivio,V3,O1,G1,MU,8,2,27,3,11,1,0.5,-0.5
OZ_T09,1,2,Control,K30,Churwalden,V2,O1,G2,MU,7,4,29,6,12,1,0.5,-0.5
OZ_T09,1,2,Control,K32,Kloster,V2,O2,G1,MU,8,2,31,5,13,1,0.5,-0.5
OZ_T09,1,2,Control,K34,SanBernadino,V4,O2,G1,MU,8,3,33,4,14,1,0.5,-0.5
OZ_T09,1,2,Control,K36,Serneus,V1,O2,G2,MU,2,2,27,2,15,0,0.5,-0.5
OZ_T09,1,2,Control,K38,Tschiertschen,V3,O1,G1,MU,7,2,22,4,16,1,0.5,-0.5
OZ_T12,1,2,Control,K8,Arosa,V1,O1,G2,OU,7,3,39,8,1,1,-0.5,-0.5
OZ_T12,1,2,Control,K10,Berguen,V3,O2,G1,OU,8,4,24,4,2,1,-0.5,-0.5
OZ_T12,1,2,Control,K12,Bivio,V4,O1,G1,OU,8,5,28,3,3,1,-0.5,-0.5
OZ_T12,1,2,Control,K14,Churwalden,V2,O1,G1,OU,8,4,39,6,4,1,-0.5,-0.5
OZ_T12,1,2,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,32,6,5,1,-0.5,-0.5
